MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
1920,Phillips St,1H,Beacon Hill,08:00,12:00,Odd,Irving St,West Cedar St,0.1884,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
1921,Perth St,3,North Dorchester,12:00,16:00,Even,Fayston St,Quincy St,0.0487,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1922,North Washington St,1N,North End,00:01,07:00,Even Side Median,New Chardon St,Causeway St,0.2390,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1923,New England Ave,7,South Dorchester,08:00,12:00,Odd,Talbot Ave,Norfolk St,0.2737,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1924,North Washington St,1N,North End,00:01,07:00,,New Chardon St,Causeway St,0.2390,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1926,North Bennet St,1N,North End,08:00,12:00,Odd,Hanover St,Salem St,0.1116,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1927,North Grove St,1W,West End,00:01,07:00,,Cambridge St,Dead End,0.0928,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1928,Pearl St,3,North Dorchester,12:00,16:00,Odd,Dorchester Ave,Pleasant St,0.1604,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1929,North Margin St,1N,North End,12:00,16:00,Even,Stillman St,Endicott St,0.1585,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1930,Pearl St,1C,Charlestown,08:00,12:00,Even,High St,Bunker Hill St,0.1515,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1931,North Margin St,1N,North End,12:00,16:00,Odd,Stillman St,Endicott St,0.1585,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1932,Pearl St,1F,Downtown,00:01,07:00,Even,Congress St,Purchase St,0.2597,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1933,North St,1F,Downtown,00:01,07:00,,Congress St,Blackstone St,0.1119,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1934,North St,1N,North End,12:00,16:00,Even,North Sq,Commercial St,0.2705,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1935,Plympton St,1S,South End,08:00,12:00,Even,Harrison Ave,Albany St,0.1576,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
1936,Plympton St,1S,South End,12:00,16:00,Odd,Harrison Ave,Albany St,0.1576,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
1937,Princeton St,9,East Boston,12:00,16:00,Odd,Meridian St,Eagle Sq,0.7292,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1938,Princeton St,9,East Boston,12:00,16:00,Even,Meridian St,Eagle Sq,0.7292,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1939,Peterborough St,10F,Fenway/Kenmore,12:00,16:00,Odd,Park Dr,Park Dr,0.3881,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
